,Electricity demand,production_nette,production stock,Stored phs,Stored battery,Stored methanation,days,cost_phs,cost_bat,cost_met,cost,Stored24phs,Stored24battery,Stored24methanation
0,822.34,6.719999999999914,244.84,100.0,100.0,80.4836192074783,1,0.0006078455738695891,0.003234757852008219,0.003927903007671233,77.70506433549042,100.0,0.0,77.48468088476841
1,1011.52,23.25999999999999,253.92000000000002,100.0,0.0,77.48468088476841,2,0.0006078455738695891,0.003086854852008219,0.004208432327671234,79.03132753549043,91.46111111111111,0.0,73.5699958957012
2,1429.34,154.83000000000015,114.61000000000001,91.46111111111111,0.0,73.5699958957012,3,0.0006078455738695891,0.003182173852008219,0.0031030281276712333,68.93047553549042,88.77222222222223,35.55435662260588,73.34373942423008
3,1476.76,136.4599999999998,162.37,88.77222222222223,35.55435662260588,73.34373942423008,4,0.0006078455738695891,0.003113356852008219,0.003438269647671233,71.59472073549043,81.14444444444445,100.0,71.94379750845862
4,1464.01,50.65000000000009,284.44,81.14444444444445,100.0,71.94379750845862,5,0.0006078455738695891,0.0031122018520082194,0.0044887983276712335,82.08845753549042,100.0,100.0,67.11280581226313
5,1554.84,15.730000000000246,385.85,100.0,100.0,67.11280581226313,6,0.0006078455738695891,0.0031024368520082197,0.004975165287671233,86.85447713549041,97.57222222222222,89.45238737523603,60.69409853037301
6,1441.65,0.4499999999998181,412.4,97.57222222222222,89.45238737523603,60.69409853037301,7,0.0006078455738695891,0.003086854852008219,0.005254769127671233,89.49469553549042,97.8388888888889,89.45238737523603,53.361964751033874
7,1270.18,4.089999999999918,364.65,97.8388888888889,89.45238737523603,53.361964751033874,8,0.0006078455738695891,0.003086854852008219,0.004994818127671233,86.89518553549041,100.0,89.45238737523603,46.878772774657996
8,1093.69,-0.03999999999996362,327.09,100.0,89.45238737523603,46.878772774657996,9,0.0006078455738695891,0.003086854852008219,0.004790341487671233,84.85041913549043,100.0,89.45238737523603,41.063389414749395
9,1472.34,0.060000000000172804,735.24,100.0,89.45238737523603,41.063389414749395,10,0.0006078455738695891,0.0031895238520082193,0.006528501807671234,103.25871233549043,75.31666666666666,20.056649581872133,29.57159281195671
10,1505.64,10.929999999999836,606.89,75.31666666666666,20.056649581872133,29.57159281195671,11,0.0006078455738695891,0.003086854852008219,0.006151831447671233,98.46531873549043,62.75555555555555,20.056649581872133,19.30996576550773
11,1611.1200000000001,17.809999999999718,506.89,62.75555555555555,20.056649581872133,19.30996576550773,12,0.0006078455738695891,0.003086854852008219,0.005769172687671233,94.63873113549042,72.17222222222222,20.056649581872133,10.297789679088638
12,1556.26,41.90000000000009,484.59,72.17222222222222,20.056649581872133,10.297789679088638,13,0.0006078455738695891,0.0031028778520082196,0.005216225607671233,89.26949033549043,44.138888888888886,22.808200701375775,3.0917450790417544
13,1603.74,3.3799999999998818,264.33000000000004,44.138888888888886,22.808200701375775,3.0917450790417544,14,0.0006078455738695891,0.0031206018520082194,0.003956375127671233,76.84822553549041,0.0,0.0,0.0
14,1445.89,158.71000000000004,69.35,0.0,0.0,0.0,15,0.0006078455738695891,0.003196390852008219,0.003027846487671233,68.32082913549043,25.11111111111111,25.93741570002698,0.0
15,1259.76,278.78999999999996,129.46,25.11111111111111,25.93741570002698,0.0,16,0.0006078455738695891,0.0032097678520082193,0.003022456927671233,68.40070353549042,22.388888888888886,42.837874291880226,0.19873446786926088
16,1575.84,73.27000000000021,140.28,22.388888888888886,42.837874291880226,0.19873446786926088,17,0.0006078455738695891,0.003206890852008219,0.0030705274476712334,68.85263873549042,0.0,0.0,0.0
17,1585.6,148.10000000000014,46.13,0.0,0.0,0.0,18,0.0006078455738695891,0.003183727852008219,0.003009663527671233,68.01236953549042,34.22777777777778,34.475316967898564,0.004400320343320994
18,1470.43,236.55999999999995,176.92,34.22777777777778,34.475316967898564,0.004400320343320994,19,0.0006078455738695891,0.0032857878520082193,0.003080598847671233,69.74232273549042,26.333333333333332,0.0,0.0
19,1458.79,108.80999999999995,135.73000000000002,26.333333333333332,0.0,0.0,20,0.0006078455738695891,0.0031891458520082196,0.003009663527671233,68.06654953549042,0.0,0.0,0.0
20,1360.85,175.48000000000002,132.33,0.0,0.0,0.0,21,0.0006078455738695891,0.003234757852008219,0.003053052207671233,68.95655633549042,0.0,0.0,0.0
21,1227.84,569.0300000000002,0.0,0.0,0.0,0.0,22,0.0006078455738695891,0.003086854852008219,0.003009663527671233,67.04363953549043,21.15,0.0,0.7037312316336628
22,1046.03,563.49,20.75,21.15,0.0,0.7037312316336628,23,0.0006078455738695891,0.003086854852008219,0.003009663527671233,67.04363953549043,87.18333333333334,100.0,1.3851408382530248
23,1493.16,0.03000000000020009,289.6,87.18333333333334,100.0,1.3851408382530248,24,0.0006078455738695891,0.0032347788520082194,0.003433805567671233,72.76429993549043,0.0,0.0,0.0
24,1430.41,59.69999999999982,51.03,0.0,0.0,0.0,25,0.0006078455738695891,0.003122449852008219,0.003009663527671233,67.39958953549042,0.0,0.0,0.0
25,1550.34,69.44000000000005,54.08,0.0,0.0,0.0,26,0.0006078455738695891,0.003131752852008219,0.003009663527671233,67.49261953549042,3.288888888888889,0.0,0.0
26,1491.9,17.089999999999918,19.950000000000003,3.288888888888889,0.0,0.0,27,0.0006078455738695891,0.0030870018520082194,0.003009663527671233,67.04510953549043,0.0,0.0,0.0
27,1511.51,248.95000000000005,61.31,0.0,0.0,0.0,28,0.0006078455738695891,0.0031293588520082192,0.003009663527671233,67.46867953549042,0.0,0.0,0.54059935563309
28,1453.26,695.72,0.0,0.0,0.0,0.54059935563309,29,0.0006078455738695891,0.003086854852008219,0.003009663527671233,67.04363953549043,0.0,0.0,1.4083425273359902
29,1238.66,787.3300000000002,0.0,0.0,0.0,1.4083425273359902,30,0.0006078455738695891,0.003086854852008219,0.003009663527671233,67.04363953549043,88.70555555555555,100.0,2.276165704863314
30,1656.52,84.10000000000014,307.07,88.70555555555555,100.0,2.276165704863314,31,0.0006078455738695891,0.003234757852008219,0.003786467887671233,76.29071313549042,45.92777777777778,0.0,0.0
31,1757.22,43.69000000000028,89.19,45.92777777777778,0.0,0.0,32,0.0006078455738695891,0.003109513852008219,0.003009663527671233,67.27022953549042,13.93888888888889,0.0,0.0
32,1854.29,0.020000000000209184,0.0,13.93888888888889,0.0,0.0,33,0.0006078455738695891,0.003086854852008219,0.003009663527671233,67.04363953549043,13.93888888888889,0.0,0.0
33,1834.78,4.770000000000209,26.650000000000002,13.93888888888889,0.0,0.0,34,0.0006078455738695891,0.003086854852008219,0.003009663527671233,67.04363953549043,0.0,0.0,0.0
34,1712.34,125.32000000000039,107.16,0.0,0.0,0.0,35,0.0006078455738695891,0.003215857852008219,0.003009663527671233,68.33366953549043,0.0,0.0,0.0
35,1620.74,20.450000000000045,17.509999999999998,0.0,0.0,0.0,36,0.0006078455738695891,0.0030875478520082196,0.003009663527671233,67.05056953549042,0.0,0.0,0.0
36,1561.75,71.90000000000009,34.519999999999996,0.0,0.0,0.0,37,0.0006078455738695891,0.0031225128520082196,0.003009663527671233,67.40021953549042,12.477777777777778,9.509036957108172,0.0
37,1864.16,82.55000000000018,51.55,12.477777777777778,9.509036957108172,0.0,38,0.0006078455738695891,0.003105418852008219,0.003009663527671233,67.22927953549042,3.6500000000000004,3.5338548691664418,0.2071350794337828
38,1882.87,271.8699999999999,51.79,3.6500000000000004,3.5338548691664418,0.2071350794337828,39,0.0006078455738695891,0.0031956138520082195,0.003009663527671233,68.13122953549042,43.611111111111114,12.328028055031023,0.8129391819724475
39,1755.72,377.28,186.95,43.611111111111114,12.328028055031023,0.8129391819724475,40,0.0006078455738695891,0.0032552328520082194,0.0032042865276712333,70.67364953549043,56.16111111111112,0.09441596978688968,0.6921303870921803
40,1826.52,270.84000000000015,238.73,56.16111111111112,0.09441596978688968,0.6921303870921803,41,0.0006078455738695891,0.0032348838520082196,0.003299066567671233,71.41795993549042,22.933333333333334,0.0,0.0
41,1797.98,21.470000000000027,55.510000000000005,22.933333333333334,0.0,0.0,42,0.0006078455738695891,0.003086854852008219,0.003009663527671233,67.04363953549043,0.0,0.0,0.0
42,1632.17,478.48,13.36,0.0,0.0,0.0,43,0.0006078455738695891,0.003086854852008219,0.003009663527671233,67.04363953549043,44.28888888888889,100.0,0.31314279679560675
43,1485.55,9.399999999999864,166.88,44.28888888888889,100.0,0.31314279679560675,44,0.0006078455738695891,0.0032328468520082193,0.0031055868076712333,69.46279233549042,0.0,1.2948475856487724,0.0
44,1580.91,32.23000000000002,22.97,0.0,1.2948475856487724,0.0,45,0.0006078455738695891,0.0030887658520082194,0.003009663527671233,67.06274953549041,3.377777777777778,0.0,0.0
45,1603.45,118.22000000000003,39.45,3.377777777777778,0.0,0.0,46,0.0006078455738695891,0.003091852852008219,0.003009663527671233,67.09361953549042,11.71111111111111,12.557323981656326,0.21713580748678507
