hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,3.0,8.66,0.0,1.27,0.0,0.0,0.0,15.76,0.0,-0.0,-0.0,-0.0,120.62,70.94,562.12,3.13,4.32,0.0,28.69
1,2.89,8.09,0.0,1.3,0.0,0.0,9.3,9.64,0.0,-0.0,-0.0,-0.0,120.62,54.35,562.12,0.0,7.47,0.0,31.21
2,2.83,7.71,0.0,1.11,0.0,0.0,9.3,6.75,0.0,-0.0,-0.0,-0.0,110.29,44.2,562.12,0.0,0.0,7.43,27.7
3,2.81,7.4,0.0,1.12,0.0,0.0,9.3,7.36,0.0,-0.0,-0.0,-0.0,99.95,37.09,562.12,0.0,7.44,0.0,27.99
4,2.85,7.3,0.0,1.21,0.0,0.0,9.3,7.5,0.0,-0.0,-0.0,-0.0,89.62,29.34,562.12,0.0,7.44,0.0,28.16
5,2.98,7.48,0.0,1.25,0.0,0.0,9.3,7.02,0.0,-0.0,-0.0,-0.0,79.29,21.45,562.12,0.0,0.0,7.44,28.02
6,3.15,7.89,0.0,1.21,0.0,0.0,6.68,10.07,0.0,-0.0,-0.0,-0.0,68.95,14.06,562.12,0.0,7.45,0.0,29.0
7,3.35,8.4,2.27,1.18,0.0,0.0,9.3,3.29,0.0,-0.0,-0.0,-0.0,61.53,3.46,562.12,0.0,0.0,7.43,27.78
8,3.52,8.58,22.18,1.19,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-4.33,51.19,0.0,562.12,0.0,7.47,0.0,31.14
9,3.62,8.48,44.34,1.31,0.0,0.0,0.0,0.0,0.0,-9.3,-3.55,-7.66,51.19,0.0,564.67,7.54,0.0,0.0,37.23
10,3.49,8.34,60.45,1.38,0.0,0.0,0.0,0.0,0.0,-9.3,-16.64,-7.66,60.03,3.2,569.19,0.0,7.57,0.0,40.06
11,3.26,8.19,69.57,1.38,0.0,0.0,0.0,0.0,0.0,-9.3,-20.08,-7.66,68.86,18.17,573.71,0.0,0.0,7.61,43.68
12,3.01,8.22,69.83,1.29,0.0,0.0,0.0,0.0,0.0,-9.3,-18.64,-7.66,77.7,36.24,578.23,0.0,0.0,7.64,46.73
13,2.95,8.53,61.45,1.36,0.0,0.0,0.0,0.0,0.0,-9.3,-12.81,-7.66,86.53,53.02,582.75,7.62,0.0,0.0,44.52
14,3.08,9.12,43.86,1.25,0.0,0.0,0.0,0.0,0.0,-9.3,-3.29,-7.66,95.37,64.55,587.27,0.0,7.54,0.0,37.07
15,3.47,11.09,17.83,1.27,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.19,104.2,67.51,591.79,7.5,0.0,0.0,33.46
16,4.35,15.99,0.21,1.25,0.0,0.0,0.0,9.58,0.0,-0.0,-0.0,-0.0,104.2,67.51,591.9,0.0,0.0,7.47,31.38
17,5.31,20.47,0.0,1.33,0.0,0.0,0.0,5.13,0.0,-0.0,-0.0,-0.0,104.2,57.43,591.9,7.48,0.0,0.0,32.25
18,6.15,23.08,0.0,1.45,0.0,0.0,0.0,3.36,0.0,-0.0,-0.0,-0.0,104.2,52.03,591.9,0.0,7.5,0.0,34.03
19,6.74,24.07,0.0,1.82,0.0,0.0,0.0,4.39,0.0,-0.0,-0.0,-0.0,104.2,48.49,591.9,7.54,0.0,0.0,37.01
20,7.05,24.17,0.0,1.71,0.0,0.0,0.0,7.43,0.0,-0.0,-0.0,-0.0,104.2,43.87,591.9,0.0,7.57,0.0,40.36
21,7.21,23.6,0.0,1.5,0.0,0.0,0.0,9.78,0.0,-0.0,-0.0,-4.15,104.2,36.05,591.9,0.0,0.0,7.55,37.94
22,7.46,23.62,0.0,1.47,0.0,0.0,0.0,3.09,0.0,-0.0,-0.0,-0.0,104.2,25.76,594.35,7.52,0.0,0.0,35.63
23,7.65,23.32,0.0,1.39,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-1.06,104.2,22.51,594.35,0.0,7.47,0.0,31.3
24,7.93,23.87,0.0,1.31,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.96,104.2,22.51,594.98,0.0,0.0,7.48,32.15
25,8.18,24.65,0.0,1.15,0.0,0.0,0.0,0.5,0.0,-0.0,-0.0,-0.0,104.2,22.51,595.54,0.0,7.51,0.0,34.47
26,8.39,25.85,0.0,1.1,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-3.43,104.2,21.99,595.54,7.48,0.0,0.0,31.91
27,8.61,27.28,0.0,1.15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-5.5,104.2,21.99,597.57,0.0,7.48,0.0,31.55
