hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,4.97,24.98,0.0,1.27,0.0,0.0,5.13,0.0,0.0,-0.0,-0.0,-7.66,70.62,3.25,1399.62,0.0,7.44,0.0,28.69
1,4.64,23.4,0.0,1.3,0.0,0.0,9.3,0.23,0.0,-0.0,-0.0,-7.66,64.92,3.25,1404.14,0.0,7.47,0.0,31.21
2,4.4,21.89,0.0,1.11,0.0,0.0,7.96,0.0,0.0,-0.0,-0.0,-7.66,54.59,3.01,1408.66,0.0,7.43,0.0,27.7
3,4.39,20.59,0.0,1.12,0.0,0.0,9.3,0.24,0.0,-0.0,-0.0,-7.66,45.74,3.01,1413.18,0.0,0.0,7.44,27.99
4,4.61,19.64,0.0,1.21,0.0,0.0,9.3,1.06,0.0,-0.0,-0.0,-7.66,35.41,2.76,1417.7,0.0,7.44,0.0,28.16
5,4.96,19.24,0.0,1.25,0.0,0.0,9.3,0.94,0.0,-0.0,-0.0,-7.66,25.08,1.64,1422.22,0.0,0.0,7.44,28.02
6,5.68,19.85,0.0,1.21,0.0,0.0,9.3,0.62,0.0,-0.0,-0.0,-7.66,14.74,0.65,1426.73,0.0,7.45,0.0,29.0
7,6.62,21.69,1.98,1.18,0.0,0.0,3.97,0.0,0.0,-0.0,-0.0,-7.66,4.41,0.0,1431.25,0.0,0.0,7.43,27.78
8,7.5,23.25,12.45,1.19,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,1435.77,0.0,7.47,0.0,31.14
9,8.01,23.27,23.6,1.31,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,1440.29,0.0,0.0,7.54,37.23
10,8.6,23.88,32.35,1.38,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,1444.81,0.0,0.0,7.57,40.06
11,9.57,26.86,36.59,1.38,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,1449.33,0.0,0.0,7.61,43.68
12,10.38,31.28,34.83,1.29,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,1453.85,0.0,0.0,7.64,46.73
13,11.06,36.01,28.25,1.36,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,1458.37,0.0,7.62,0.0,44.52
14,11.53,41.43,18.49,1.25,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,1462.89,7.54,0.0,0.0,37.07
15,11.87,47.0,6.02,1.27,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,1467.41,0.0,7.5,0.0,33.46
16,12.07,51.37,0.01,1.25,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,1471.93,0.0,7.47,0.0,31.38
17,12.18,55.13,0.0,1.33,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,1476.45,7.48,0.0,0.0,32.25
18,12.34,58.44,0.0,1.45,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,1480.97,0.0,0.0,7.5,34.03
19,12.35,59.63,0.0,1.82,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,1485.49,0.0,7.54,0.0,37.01
20,12.27,60.11,0.0,1.71,0.0,0.0,0.0,0.0,0.0,-2.4,-0.0,-7.66,0.0,0.0,1490.01,0.0,0.0,7.57,40.36
21,12.16,60.76,0.0,1.5,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,2.28,0.0,1494.53,0.0,0.0,7.55,37.94
22,12.03,60.11,0.0,1.47,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,11.11,0.0,1499.05,0.0,0.0,7.52,35.63
23,11.74,58.45,0.0,1.39,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,19.95,0.0,1503.56,0.0,0.0,7.47,31.3
24,11.51,56.72,0.0,1.31,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,28.78,0.0,1508.08,0.0,0.0,7.48,32.15
25,11.62,55.04,0.0,1.15,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,37.62,0.0,1512.6,0.0,7.51,0.0,34.47
26,11.59,52.91,0.0,1.1,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,46.45,0.0,1517.12,0.0,7.48,0.0,31.91
27,11.5,50.37,0.0,1.15,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,55.29,0.0,1521.64,7.48,0.0,0.0,31.55
28,11.46,48.26,0.0,1.16,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,64.12,0.0,1526.16,0.0,7.47,0.0,31.29
29,11.4,45.98,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,72.96,0.0,1530.68,0.0,0.0,7.46,30.09
30,11.27,43.1,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,81.79,0.0,1535.2,7.47,0.0,0.0,31.4
31,11.12,40.63,1.77,1.18,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,90.63,0.0,1539.72,7.52,0.0,0.0,35.17
32,10.92,39.02,12.64,1.23,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,99.46,0.0,1544.24,0.0,7.52,0.0,35.83
33,10.57,37.17,25.72,1.33,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,108.3,0.0,1548.76,7.56,0.0,0.0,39.43
34,10.35,38.06,35.32,1.43,0.0,0.0,0.0,0.0,0.0,-9.3,-12.48,-7.66,117.13,0.0,1553.28,7.69,0.0,0.0,51.43
35,10.67,46.08,40.06,1.5,0.0,0.0,0.0,0.0,0.0,-9.3,-20.08,-7.66,125.97,11.23,1557.8,0.0,0.0,7.74,55.94
36,10.8,50.8,40.07,1.58,0.0,0.0,0.0,0.0,0.0,-9.3,-20.08,-7.66,134.8,29.3,1562.32,0.0,0.0,7.78,59.58
37,10.81,50.58,34.24,1.62,0.0,0.0,0.0,0.0,0.0,-9.3,-20.08,-7.66,143.64,47.37,1566.84,0.0,0.0,7.77,57.83
38,10.66,46.54,22.23,1.46,0.0,0.0,0.0,0.0,0.0,-9.3,-9.66,-7.66,152.47,65.45,1571.36,0.0,7.73,0.0,54.27
39,10.44,43.92,7.31,1.43,0.0,0.0,0.0,0.0,0.0,-4.58,-0.0,-7.66,161.31,74.14,1575.88,7.69,0.0,0.0,50.85
40,10.36,43.54,0.0,1.59,0.0,0.0,0.0,0.0,0.0,-7.61,-0.0,-7.66,165.66,74.14,1580.39,7.57,0.0,0.0,40.21
41,10.31,42.58,0.0,1.9,0.0,0.0,0.0,0.0,0.0,-6.55,-0.0,-7.66,172.89,74.14,1584.91,0.0,7.58,0.0,40.58
42,10.21,42.09,0.0,2.24,0.0,0.0,0.0,0.0,0.0,-0.93,-0.0,-7.66,179.12,74.14,1589.43,7.63,0.0,0.0,45.96
43,10.08,41.54,0.0,2.49,0.0,0.0,0.85,0.0,0.0,-0.0,-0.0,-5.68,180.0,74.14,1593.95,7.67,0.0,0.0,49.29
44,9.85,40.25,0.0,2.43,0.0,0.0,0.0,0.0,0.0,-0.99,-0.0,-7.66,179.06,74.14,1597.3,7.61,0.0,0.0,43.87
45,9.49,37.99,0.0,2.12,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-6.43,180.0,74.14,1601.82,0.0,7.6,0.0,43.17
46,9.14,35.11,0.0,1.93,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-1.89,180.0,74.14,1605.62,0.0,0.0,7.62,44.28
47,8.88,32.04,0.0,1.93,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-1.87,180.0,74.14,1606.73,0.0,0.0,7.58,40.97
48,8.65,30.22,0.0,1.9,0.0,0.0,0.0,0.57,0.0,-0.0,-0.0,-0.0,180.0,74.14,1607.84,0.0,0.0,7.58,41.35
49,8.36,28.79,0.0,1.79,0.0,0.0,9.3,1.86,0.0,-0.0,-0.0,-0.0,180.0,73.54,1607.84,0.0,0.0,7.68,50.11
50,7.97,27.33,0.0,1.73,0.0,0.0,9.3,0.0,1.57,-0.0,-0.0,-0.0,169.67,71.58,1607.84,0.0,0.0,7.66,47.9
51,7.63,26.14,0.0,1.64,0.0,0.0,9.3,3.56,0.0,-0.0,-0.0,-0.0,159.33,71.58,1604.35,0.0,0.0,7.66,48.27
52,7.44,25.43,0.0,1.49,0.0,0.0,9.3,4.83,0.0,-0.0,-0.0,-0.0,149.0,67.83,1604.35,0.0,7.66,0.0,48.49
53,7.28,24.89,0.0,1.45,0.0,0.0,9.3,6.28,0.0,-0.0,-0.0,-0.0,138.67,62.74,1604.35,0.0,7.67,0.0,49.2
54,7.27,25.47,0.0,1.48,0.0,0.0,9.3,6.71,0.0,-0.0,-0.0,-0.0,128.33,56.13,1604.35,0.0,0.0,7.68,50.23
55,7.33,26.0,2.7,1.53,0.0,0.0,7.39,10.69,0.0,-0.0,-0.0,-0.0,118.0,49.07,1604.35,0.0,7.74,0.0,55.65
56,7.2,26.12,17.2,1.67,0.0,0.0,0.0,7.7,0.0,-0.0,-0.0,-0.0,109.79,37.81,1604.35,0.0,7.79,0.0,59.89
57,6.78,25.64,33.34,1.71,0.0,0.0,0.0,0.0,0.0,-2.04,-0.0,-0.0,109.79,29.71,1604.35,7.85,0.0,0.0,65.43
58,6.51,26.15,47.85,1.88,0.0,0.0,0.0,0.0,0.0,-9.3,-6.31,-0.0,111.73,29.71,1604.35,0.0,0.0,7.86,66.78
59,6.66,28.37,58.29,1.99,0.0,0.0,0.0,0.0,0.0,-9.3,-12.76,-0.0,120.56,35.39,1604.35,7.93,0.0,0.0,73.24
60,6.88,29.75,60.75,2.01,0.0,0.0,0.0,0.0,0.0,-9.3,-13.21,-0.0,129.4,46.88,1604.35,0.0,7.97,0.0,76.88
61,7.05,30.46,54.74,2.0,0.0,0.0,0.0,0.0,0.0,-9.3,-8.45,-0.0,138.23,58.76,1604.35,7.97,0.0,0.0,76.5
62,7.23,30.48,40.7,1.85,0.0,0.0,0.0,0.0,0.0,-9.3,-0.73,-0.0,147.07,66.37,1604.35,7.9,0.0,0.0,70.23
63,7.54,31.55,16.91,1.71,0.0,0.0,0.0,6.89,0.0,-0.0,-0.0,-0.0,155.9,67.02,1604.35,0.0,7.84,0.0,64.6
64,7.88,33.34,0.19,1.72,0.0,0.0,9.3,10.34,0.0,-0.0,-0.0,-0.0,155.9,59.76,1604.35,0.0,7.82,0.0,62.77
65,8.21,34.25,0.0,1.9,0.0,0.0,0.0,15.26,0.0,-0.0,-0.0,-0.0,145.57,48.88,1604.35,7.79,0.0,0.0,59.63
66,8.63,34.49,0.0,2.21,0.0,0.0,9.3,8.2,0.0,-0.0,-0.0,-0.0,145.57,32.81,1604.35,0.0,7.82,0.0,62.82
67,8.94,34.63,0.0,2.57,0.0,0.0,9.3,10.63,0.0,-0.0,-0.0,-0.0,135.23,24.18,1604.35,0.0,0.0,7.86,66.07
68,9.1,34.57,0.0,2.56,0.0,0.0,9.3,8.57,0.0,-0.0,-0.0,-0.0,124.9,13.0,1604.35,0.0,0.0,7.83,64.1
69,9.21,34.46,0.0,2.27,0.0,0.0,9.3,3.78,0.0,-0.0,-0.0,-0.0,114.57,3.98,1604.35,0.0,0.0,7.78,59.02
70,9.42,33.64,0.0,2.27,0.0,0.0,9.3,0.0,3.65,-0.0,-0.0,-0.0,104.23,0.0,1604.35,0.0,7.77,0.0,58.28
71,9.75,33.4,0.0,2.14,0.0,0.0,6.6,0.0,0.0,-0.0,-0.0,-0.0,93.9,0.0,1596.23,0.0,0.0,7.7,51.9
72,9.95,32.97,0.0,2.0,0.0,0.0,6.36,0.0,0.0,-0.0,-0.0,-0.0,86.57,0.0,1596.23,0.0,0.0,7.69,51.27
