hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,4.97,10.91,0.0,1.27,0.0,0.0,9.3,9.9,0.0,-0.0,-0.0,-7.66,180.0,74.14,800.89,0.0,7.44,0.0,28.69
1,5.07,11.54,0.0,1.3,0.0,0.0,9.3,11.66,0.0,-0.0,-0.0,-7.66,169.67,63.72,805.41,0.0,0.0,7.47,31.21
2,5.14,12.19,0.0,1.11,0.0,0.0,1.87,15.06,0.0,-0.0,-0.0,-7.66,159.33,51.44,809.93,7.43,0.0,0.0,27.7
3,5.24,13.1,0.0,1.12,0.0,0.0,9.06,7.13,0.0,-0.0,-0.0,-7.66,157.26,35.59,814.45,0.0,7.44,0.0,27.99
4,5.48,14.3,0.0,1.21,0.0,0.0,9.3,5.54,0.0,-0.0,-0.0,-7.66,147.2,28.09,818.97,0.0,7.44,0.0,28.16
5,5.99,15.86,0.0,1.25,0.0,0.0,9.3,2.96,0.0,-0.0,-0.0,-7.34,136.86,22.26,823.49,0.0,7.44,0.0,28.02
6,6.59,17.49,0.0,1.21,0.0,0.0,0.0,11.37,0.0,-0.0,-0.0,-7.66,126.53,19.14,827.82,0.0,0.0,7.45,29.0
7,7.21,19.1,1.9,1.18,0.0,0.0,6.06,0.0,0.0,-0.0,-0.0,-7.66,126.53,7.17,832.34,3.24,4.19,0.0,27.78
8,7.72,20.45,17.0,1.19,0.0,0.0,0.0,0.0,0.0,-7.57,-0.0,-7.66,119.8,7.17,836.86,0.0,7.47,0.0,31.14
9,8.11,21.07,31.94,1.31,0.0,0.0,0.0,0.0,0.0,-9.3,-8.24,-7.66,126.99,7.17,841.38,0.0,0.0,7.54,37.23
10,8.36,21.24,42.72,1.38,0.0,0.0,0.0,0.0,0.0,-9.3,-16.68,-7.66,135.82,14.58,845.9,0.0,7.57,0.0,40.06
11,8.43,21.21,48.17,1.38,0.0,0.0,0.0,0.0,0.0,-9.3,-18.55,-7.66,144.66,29.59,850.42,7.61,0.0,0.0,43.68
12,8.4,20.77,49.62,1.29,0.0,0.0,0.0,0.0,0.0,-9.3,-16.39,-7.66,153.5,46.29,854.94,0.0,7.64,0.0,46.73
13,8.29,19.73,43.26,1.36,0.0,0.0,0.0,0.0,0.0,-9.3,-11.16,-7.66,162.33,61.04,859.46,7.62,0.0,0.0,44.52
14,7.96,18.18,30.03,1.25,0.0,0.0,0.0,0.0,0.0,-9.3,-3.4,-7.66,171.16,71.08,863.98,0.0,7.54,0.0,37.07
15,7.79,18.08,10.68,1.27,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-4.37,180.0,74.14,868.5,0.0,0.0,7.5,33.46
16,7.68,19.38,0.08,1.25,0.0,0.0,0.0,0.0,2.99,-0.0,-0.0,-0.0,180.0,74.14,871.07,0.0,7.47,0.0,31.38
17,7.25,19.23,0.0,1.33,0.0,0.0,0.0,4.43,0.0,-0.0,-0.0,-0.0,180.0,74.14,864.43,7.48,0.0,0.0,32.25
18,6.81,18.94,0.0,1.45,0.0,0.0,0.0,6.84,0.0,-0.0,-0.0,-0.0,180.0,69.47,864.43,7.5,0.0,0.0,34.03
19,6.34,18.29,0.0,1.82,0.0,0.0,0.0,0.0,10.56,-0.0,-0.0,-0.0,180.0,62.27,864.43,0.0,0.0,7.54,37.01
20,5.81,16.8,0.0,1.71,0.0,0.0,0.0,12.51,3.53,-0.0,-0.0,-0.0,180.0,62.27,840.97,0.0,7.57,0.0,40.36
21,4.93,15.69,0.0,1.5,0.0,0.0,0.0,0.0,15.82,-0.0,-0.0,-0.0,180.0,49.11,833.12,0.0,0.0,7.55,37.94
22,3.94,14.26,0.0,1.47,0.0,0.0,0.0,0.0,15.96,-0.0,-0.0,-0.0,180.0,49.11,797.97,0.0,0.0,7.52,35.63
23,3.3,12.93,0.0,1.39,0.0,0.0,0.0,0.0,13.69,-0.0,-0.0,-0.0,180.0,49.11,762.49,0.0,0.0,7.47,31.3
24,3.01,11.56,0.0,1.31,0.0,0.0,0.0,16.27,0.0,-0.0,-0.0,-0.0,180.0,49.11,732.07,0.0,0.0,7.48,32.15
25,2.81,10.27,0.0,1.15,0.0,0.0,0.0,20.08,0.16,-0.0,-0.0,-0.0,180.0,31.98,732.07,7.51,0.0,0.0,34.47
26,3.1,9.92,0.0,1.1,0.0,0.0,0.0,0.0,17.78,-0.0,-0.0,-0.0,180.0,10.85,731.72,7.48,0.0,0.0,31.91
27,3.95,10.11,0.0,1.15,0.0,0.0,0.0,0.0,16.33,-0.0,-0.0,-0.0,180.0,10.85,692.21,0.0,7.48,0.0,31.55
28,5.02,10.61,0.0,1.16,0.0,0.0,0.0,0.0,14.49,-0.0,-0.0,-0.0,180.0,10.85,655.91,0.0,7.47,0.0,31.29
29,5.88,11.25,0.0,1.21,0.0,0.0,0.0,0.0,11.74,-0.0,-0.0,-0.0,180.0,10.85,623.7,7.46,0.0,0.0,30.09
30,6.44,11.44,0.0,1.21,0.0,0.0,0.0,0.0,12.32,-0.0,-0.0,-0.0,180.0,10.85,597.6,7.47,0.0,0.0,31.4
31,6.71,11.69,0.71,1.18,0.0,0.0,0.0,0.0,14.88,-0.0,-0.0,-0.0,180.0,10.85,570.23,0.0,7.52,0.0,35.17
32,6.71,11.71,8.73,1.23,0.0,0.0,0.0,0.0,7.45,-0.0,-0.0,-0.0,180.0,10.85,537.16,0.0,7.52,0.0,35.83
33,6.35,10.32,16.62,1.33,0.0,0.0,0.0,0.0,4.8,-0.0,-0.0,-0.0,180.0,10.85,520.61,0.0,7.56,0.0,39.43
34,5.96,9.0,23.15,1.43,0.0,0.0,0.0,0.0,11.88,-0.0,-0.0,-0.0,180.0,10.85,509.95,0.0,0.0,7.69,51.43
35,5.64,8.56,29.49,1.5,0.0,0.0,0.0,0.0,10.76,-0.0,-0.0,-0.0,180.0,10.85,483.54,7.74,0.0,0.0,55.94
36,5.5,8.92,29.14,1.58,0.0,0.0,3.9,0.0,10.54,-0.0,-0.0,-0.0,180.0,10.85,459.64,5.4,2.38,0.0,59.58
37,5.6,10.1,22.94,1.62,0.0,0.0,9.3,0.0,8.27,-0.0,-0.0,-0.0,175.67,10.85,436.21,0.0,7.77,0.0,57.83
38,5.87,11.62,12.75,1.46,0.0,0.0,9.3,0.0,13.27,-0.0,-0.0,-0.0,165.33,10.85,417.84,0.0,0.0,7.73,54.27
