hour,offshore,onshore,pv,river,lake,biogas,phs,battery,methanation,Storage phs,Storage battery,Storage methanation,Stored phs,Stored battery,Stored methanation,reserve phs,reserve battery,reserve lake,Electricity demand
0,9.32,25.56,0.0,1.27,0.0,0.0,0.93,0.0,0.0,-0.0,-0.0,-7.66,1.04,0.0,2011.76,0.0,0.0,7.45,29.42
1,9.84,28.26,0.0,1.3,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2016.28,0.0,7.44,0.0,28.59
2,10.34,31.14,0.0,1.11,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2020.8,0.0,7.46,0.0,30.06
3,10.7,33.8,0.0,1.12,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2025.32,7.45,0.0,0.0,28.86
4,11.19,36.66,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2029.84,7.43,0.0,0.0,27.65
5,11.58,40.67,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2034.36,7.43,0.0,0.0,27.57
6,11.89,44.66,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2038.88,7.43,0.0,0.0,26.89
7,12.1,48.59,1.76,1.18,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2043.4,0.0,0.0,7.43,27.27
8,12.23,51.68,11.13,1.19,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2047.92,0.0,0.0,7.47,30.76
9,12.35,54.4,20.26,1.31,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2052.44,0.0,0.0,7.56,39.13
10,12.38,57.34,26.96,1.38,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2056.95,0.0,0.0,7.58,41.15
11,12.45,59.54,27.72,1.38,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2061.47,0.0,0.0,7.62,44.62
12,12.43,60.6,22.29,1.29,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2065.99,0.0,0.0,7.62,44.44
13,12.43,60.78,14.8,1.36,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2070.51,0.0,0.0,7.62,44.33
14,12.35,60.67,7.55,1.25,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2075.03,0.0,0.0,7.54,37.48
15,12.34,61.65,2.23,1.27,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2079.55,0.0,0.0,7.52,35.69
16,12.33,63.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2084.07,0.0,0.0,7.46,29.94
17,12.3,64.3,0.0,1.33,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2088.59,0.0,0.0,7.46,29.73
18,12.22,64.91,0.0,1.45,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2093.11,0.0,0.0,7.51,34.66
19,12.29,64.57,0.0,1.82,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2097.63,0.0,0.0,7.55,38.29
20,12.24,64.19,0.0,1.71,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2102.15,0.0,0.0,7.58,40.68
21,12.02,62.35,0.0,1.5,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2106.67,0.0,0.0,7.56,39.4
22,12.25,60.8,0.0,1.47,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2111.19,0.0,0.0,7.51,34.31
23,12.01,60.39,0.0,1.39,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2115.71,0.0,0.0,7.46,30.5
24,11.75,59.25,0.0,1.31,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2120.23,0.0,0.0,7.5,33.72
25,11.65,56.27,0.0,1.15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2124.75,7.52,0.0,0.0,35.17
26,11.15,53.1,0.0,1.1,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2129.27,7.5,0.0,0.0,33.9
27,10.74,49.41,0.0,1.15,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2133.78,0.0,0.0,7.47,30.93
28,10.64,46.64,0.0,1.16,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2138.3,0.0,0.0,7.49,32.83
29,10.65,48.02,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-7.66,0.0,0.0,2142.82,0.0,7.48,0.0,31.67
30,10.97,54.05,0.0,1.21,0.0,0.0,0.0,0.0,0.0,-0.69,-0.0,-7.66,0.0,0.0,2147.34,0.0,7.47,0.0,30.59
31,11.25,61.92,0.74,1.18,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,0.66,0.0,2151.86,0.0,7.55,0.0,38.35
32,11.64,67.14,7.96,1.23,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,9.49,0.0,2156.38,0.0,0.0,7.51,34.62
33,11.49,68.19,17.69,1.33,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,18.33,0.0,2160.9,0.0,0.0,7.56,39.59
34,11.19,68.57,26.51,1.43,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,27.16,0.0,2165.42,0.0,0.0,7.71,52.53
35,11.34,69.45,33.31,1.5,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,36.0,0.0,2169.94,0.0,0.0,7.72,54.13
36,11.53,70.16,31.03,1.58,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,44.83,0.0,2174.46,0.0,0.0,7.81,61.93
37,11.7,71.11,25.86,1.62,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,53.67,0.0,2178.98,0.0,0.0,7.77,58.1
38,12.24,71.97,17.35,1.46,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,62.5,0.0,2183.5,0.0,0.0,7.73,54.8
39,12.3,71.96,5.56,1.43,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,71.34,0.0,2188.02,0.0,0.0,7.67,49.13
40,12.37,71.02,0.0,1.59,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,80.17,0.0,2192.54,0.0,0.0,7.57,40.19
41,12.42,70.55,0.0,1.9,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,89.01,0.0,2197.06,0.0,0.0,7.56,39.43
42,12.44,70.2,0.0,2.24,0.0,0.0,0.0,0.0,0.0,-9.3,-0.39,-7.66,97.84,0.0,2201.58,0.0,0.0,7.63,45.4
43,12.43,68.43,0.0,2.49,0.0,0.0,0.0,0.0,0.0,-9.3,-0.0,-7.66,106.68,0.35,2206.09,0.0,7.67,0.0,49.59
44,12.37,66.1,0.0,2.43,0.0,0.0,0.0,0.0,0.0,-9.3,-17.92,-7.66,115.51,0.35,2210.61,0.0,0.0,7.64,46.01
45,12.27,63.96,0.0,2.12,0.0,0.0,0.0,0.0,0.0,-9.3,-17.84,-7.66,124.35,16.48,2215.13,0.0,7.61,0.0,43.55
